-596.17 128589 8118 164
-576.14 124634 7610 158
-562.23 121780 7744 149
-545.85 117902 7744 143
-532.07 115415 8038 143
-521.65 115856 10639 158
-506.14 119168 7393 142
-490.08 106917 7934 143
-473.51 103537 7886 143
-460.79 101000 6707 143
-446.38 98589 7494 142
-434.73 95709 7792 144
-413.1 91422 7558 149
-404.41 95536 8185 143
-382.37 85096 7714 143
-365.74 82357 7258 144
-354.6 79769 7483 142
-340.74 76935 7728 144
-328.28 74268 7693 143
-307.64 70210 7605 143
-297.89 68544 6764 143
-281.32 65058 7941 143
-264.33 61842 7811 164
-250.71 58635 7054 143
-232.18 54806 8100 143
-219.7 52198 7837 143
-201.38 52972 10525 157
-193.77 48544 7376 143
-179.33 43941 7030 143
-163.65 48261 9004 144
-140.71 37299 7993 143
-126.98 33615 7721 143
-119.78 32133 7902 143
-104.42 28822 7768 143
-89.31 25687 7830 144
-73.33 22516 8059 143
-56.07 18655 7792 143
-40.44 15672 7862 143
-29.89 13498 7985 143
-14.58 11058 8042 143
2.29 6813 6977 143
18.73 11080 7527 143
34.21 14549 7033 143
54.19 18625 7502 143
67.84 21424 7816 203
80.37 23916 7451 143
91.98 26264 8653 143
108.24 30102 8044 143
123.15 32561 7810 143
138.7 35873 7432 143
154.13 39069 7349 143
170.26 42344 7683 143
180.91 44162 7966 143
204.8 51355 11074 162
219.56 55793 7475 144
233.73 54840 7818 143
248.62 58840 7802 143
256.7 59824 7527 143
279.96 64612 8031 143
287.81 66430 7508 143
303.05 74391 13618 160
324.25 78971 7605 143
330.84 74826 7885 143
348.27 78488 7592 143
363.36 81244 6528 143
380.05 84992 6761 143
398.46 94384 8028 155
412.29 91771 7812 143
423.13 93902 7190 143
443.57 97452 7800 143
451.24 99006 7178 143
473.95 103600 7848 143
485.82 106435 7538 143
500.45 109132 7752 144
518.14 112294 7602 143
528.67 119998 9277 143
544.34 117929 6546 153
558.64 120840 7773 143
570.43 122980 7850 143
592.5 133074 8728 152
